2026-09-08T17:09:12Z	GET /boot/3064816/rescue/last -> 200 (captures/rescue-last.json)
2026-09-08T17:09:19Z	GET /boot/3064816/rescue/last -> 200 (captures/rescue-last.json)
2026-09-08T17:09:19Z	host_key published on /rescue/last
2026-09-08T17:09:19Z	waiting for ssh on 88.99.2.106 (rescue)
2026-09-08T17:09:27Z	ssh answering on 88.99.2.106 (rescue)
2026-09-08T17:09:31Z	T2 rescue login over API-pinned host key
2026-09-08T17:09:31Z	T3 install start
2026-09-08T17:10:16Z	T3 install start
2026-09-08T17:11:16Z	T4 install end (transcript 16914 bytes — CNF-47)
2026-09-08T17:11:16Z	T5 reset into installed system
2026-09-08T17:11:19Z	POST /reset/3064816 -> 200 (captures/reset-installed.json)
2026-09-08T17:11:19Z	waiting for ssh on 88.99.2.106 (installed)
2026-09-08T17:12:25Z	ssh answering on 88.99.2.106 (installed)
2026-09-08T17:12:28Z	T6 installed login over pre-read host key
2026-09-08T17:12:31Z	GET /boot/3064816/rescue -> 200 (captures/rescue-final.json)
2026-09-08T17:13:28Z	server 3064816 cancelled (cancellation_date=now) -> HTTP 200
